"country","year","co2","co2_per_capita","coal_co2","oil_co2","gas_co2","total_fossil_co2","yoy_growth_percent"
Thailand,2020,271.9233093,3.795612335,74.79920197,96.31249237,78.27968597,249.39138031,-3.531368828438635
Thailand,2021,267.1418152,3.724407196,76.6475296,90.91973114,77.92330933,245.49057007,-1.7583980249096032
Thailand,2022,272.5733643,3.79970932,69.80936432,105.827919,75.53216553,251.16944884999998,2.0332081280250223
Thailand,2023,264.7336731,3.692115545,59.32709122,104.3430176,81.42051697,245.09062579,-2.8761765553040153
Thailand,2024,267.7601929,3.736118793,60.21633911,105.3364868,84.08812714,249.64095305,1.1432318996521402
Vietnam,1995,30.08847237,0.417605758,12.55079079,13.18474293,0.425078005,26.160611725,
Vietnam,1996,35.48151016,0.485008627,14.7475996,15.98236752,0.626543999,31.356511118999997,17.923933537340954
Vietnam,1997,45.50207138,0.613013327,21.52775955,18.39844704,1.139596939,41.065803529,28.241642407026564
Vietnam,1998,47.86635208,0.635678172,21.6818676,19.04399109,1.897804976,42.623663666,5.195984772331044
Vietnam,1999,48.54832458,0.636386752,20.03108788,20.23627281,2.158096075,42.42545676500001,1.4247429987148512
Vietnam,2000,53.93546677,0.699062347,20.71625519,23.19311905,3.063103914,46.972478154,11.096453351593702
Vietnam,2001,60.98338699,0.78214556,24.95335388,25.56161308,2.56495595,53.07992291,13.067320340537403
Vietnam,2002,69.53095245,0.882683575,27.49099159,28.6378231,4.100016117,60.228830807,14.01621963273641
Vietnam,2003,77.26105499,0.97105819,31.97572708,29.49886322,5.206543922,66.681134222,11.117498419942908
Vietnam,2004,88.9391861,1.107048988,34.79191208,33.89060211,8.760263443,77.442777633,15.115158745258539
Vietnam,2005,95.84205627,1.181946635,39.4576149,33.85535812,9.394495964,82.707468984,7.761337238052373
Vietnam,2006,99.65592194,1.212832689,42.74422455,32.41540909,11.21183968,86.37147331999999,3.9793237107265567
Vietnam,2007,101.4326324,1.212824821,36.46412659,37.35814285,12.47958374,86.30185318,1.7828448379311677
Vietnam,2008,114.2995758,1.341925621,43.64051056,40.41996002,13.90077305,97.96124363,12.685210957810058
Vietnam,2009,124.4933929,1.439895391,45.48855972,43.34145737,15.3741436,104.20416069,8.918508252241478
Vietnam,2010,139.5638428,1.595833302,47.4634552,49.30278397,18.04886436,114.81510353,12.105421459679729
Vietnam,2011,152.5639343,1.724503636,59.55099106,47.17766571,16.27915192,123.00780869,9.314799047651327
Vietnam,2012,144.2875366,1.611964703,52.31459045,44.20982361,17.95726395,114.48167801,-5.424871702459753
Vietnam,2013,151.4593658,1.672233343,56.56116867,43.90937424,18.71937561,119.18991852,4.970511915995931
Vietnam,2014,180.0475159,1.963878036,78.14945221,47.69795227,19.59873581,145.44614029000002,18.875128618820618
Vietnam,2015,213.3913116,2.298899174,97.89841461,58.91345596,20.46343994,177.27531051,18.519442233526526
Vietnam,2016,221.0270081,2.351348162,106.9045258,55.36670303,20.36817551,182.63940434,3.5782602594022364
Vietnam,2017,227.6943665,2.392326117,108.3023453,57.04751587,17.87635422,183.22621539,3.0165356068085023
Vietnam,2018,255.4684143,2.654567003,122.2732239,63.63000107,18.55477905,204.45800402,12.197951239166914
Vietnam,2019,339.3123474,3.491809845,191.6088867,70.80680084,18.90624046,281.321928,32.81968666448955
Vietnam,2020,362.598877,3.69700098,215.9598236,68.38489532,16.93134308,301.27606199999997,6.862859479896426
Vietnam,2021,314.1965942,3.175785065,172.6125641,64.08256531,14.4359808,251.13111021,-13.34871282571568
Vietnam,2022,322.6531372,3.236868382,177.2480927,72.80538177,15.51000214,265.56347661,2.6914814342694777
Vietnam,2023,347.3987732,3.461795807,209.1143646,78.20406342,14.33341122,301.65183924,7.669423646316862
Vietnam,2024,370.9313354,3.673035145,229.1855316,83.99743652,12.13150883,325.31447694999997,6.773933593154102
